epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5117,1.3306,2.7914,1.49418,0.4465,0.21901,0.15386,0.07903,1.97041,3.65457,2.20886,0.000472779,0.000472779,0.000472779
2,154.237,1.44763,2.01082,1.5854,0.20493,0.49767,0.21932,0.1167,1.77217,26.9412,2.39256,0.00093032,0.00093032,0.00093032
3,232.681,1.43618,1.91748,1.57593,0.20303,0.30113,0.1979,0.12989,1.82766,2.97742,2.17591,0.001369,0.001369,0.001369
4,310.239,1.41043,1.82412,1.56838,0.59165,0.54578,0.59303,0.37821,1.43052,2.21208,1.71247,0.00134412,0.00134412,0.00134412
5,387.809,1.32835,1.63951,1.50262,0.586,0.48114,0.50598,0.32459,1.60824,1.92207,1.89107,0.00131582,0.00131582,0.00131582
6,464.95,1.34581,1.6082,1.52549,0.58609,0.47511,0.50668,0.33894,1.5065,2.01191,1.83059,0.00128753,0.00128753,0.00128753
7,542.297,1.31888,1.55245,1.49783,0.57893,0.50486,0.53335,0.34366,1.56356,1.9843,1.89544,0.00125923,0.00125923,0.00125923
8,619.534,1.2521,1.46066,1.45019,0.75804,0.58962,0.67498,0.47499,1.28014,1.4784,1.61899,0.00123094,0.00123094,0.00123094
9,697.48,1.25364,1.4456,1.4594,0.7345,0.70733,0.75464,0.52722,1.23975,1.15647,1.53292,0.00120265,0.00120265,0.00120265
10,774.754,1.19162,1.32716,1.41669,0.72751,0.61613,0.69897,0.4792,1.30073,1.44252,1.63647,0.00117435,0.00117435,0.00117435
11,851.87,1.21334,1.33194,1.44088,0.70218,0.69253,0.72009,0.513,1.157,1.2818,1.50041,0.00114606,0.00114606,0.00114606
12,929.394,1.19218,1.28708,1.42025,0.75445,0.70257,0.76988,0.53738,1.21873,1.16516,1.53986,0.00111776,0.00111776,0.00111776
13,1006.63,1.15015,1.22985,1.3715,0.749,0.75506,0.79524,0.5795,1.15232,1.03059,1.48803,0.00108947,0.00108947,0.00108947
14,1083.99,1.14843,1.19187,1.37957,0.81723,0.73011,0.80429,0.58271,1.10967,1.0065,1.4398,0.00106118,0.00106118,0.00106118
15,1161.26,1.12251,1.16368,1.37335,0.75055,0.74643,0.79672,0.56938,1.16704,1.12563,1.49525,0.00103288,0.00103288,0.00103288
16,1238.35,1.10546,1.1251,1.35515,0.70155,0.68403,0.70426,0.50873,1.18381,1.35166,1.52936,0.00100459,0.00100459,0.00100459
17,1315.45,1.09482,1.09297,1.34683,0.71567,0.69738,0.70035,0.49675,1.19466,1.35909,1.5384,0.000976293,0.000976293,0.000976293
18,1392.54,1.10118,1.11534,1.35079,0.78983,0.79751,0.83544,0.60226,1.1012,0.99505,1.44748,0.000947999,0.000947999,0.000947999
19,1469.89,1.05982,1.03582,1.32728,0.79582,0.75742,0.82107,0.59005,1.1162,0.97444,1.46816,0.000919704,0.000919704,0.000919704
20,1547.13,1.06333,1.03935,1.33237,0.80551,0.7634,0.82924,0.60432,1.12759,0.94839,1.46497,0.00089141,0.00089141,0.00089141
21,1624.42,1.05463,1.00132,1.32561,0.82017,0.80712,0.85098,0.62702,1.08335,0.87212,1.44714,0.000863116,0.000863116,0.000863116
22,1701.74,1.04559,0.9937,1.31265,0.80441,0.77297,0.84288,0.62181,1.05442,0.951,1.41307,0.000834822,0.000834822,0.000834822
23,1779.31,1.02332,0.95274,1.294,0.79855,0.7949,0.84789,0.6022,1.13339,0.92366,1.46758,0.000806528,0.000806528,0.000806528
24,1856.42,1.01723,0.94482,1.29433,0.82826,0.78518,0.84731,0.61759,1.06256,0.90401,1.41955,0.000778233,0.000778233,0.000778233
25,1933.55,1.00096,0.92603,1.2876,0.86056,0.76964,0.86815,0.64484,1.06167,0.83327,1.40534,0.000749939,0.000749939,0.000749939
26,2011.23,1.00463,0.89241,1.28836,0.8595,0.78162,0.8596,0.63826,1.06464,0.85486,1.42332,0.000721645,0.000721645,0.000721645
27,2088.41,0.97723,0.916,1.27772,0.82396,0.7813,0.85212,0.62922,1.07477,0.82966,1.43386,0.000693351,0.000693351,0.000693351
28,2165.36,0.95852,0.85047,1.24274,0.85397,0.83131,0.88729,0.64719,1.07094,0.81782,1.43412,0.000665057,0.000665057,0.000665057
29,2242.77,0.9453,0.82556,1.22882,0.87054,0.79494,0.8693,0.64657,1.04912,0.808,1.41064,0.000636762,0.000636762,0.000636762
30,2319.98,0.97002,0.86536,1.27733,0.87281,0.8112,0.85898,0.63873,1.07905,0.80875,1.45214,0.000608468,0.000608468,0.000608468
31,2397.06,0.94627,0.82241,1.24139,0.8602,0.82559,0.88365,0.66191,1.03737,0.76143,1.39497,0.000580174,0.000580174,0.000580174
32,2474.26,0.9159,0.79758,1.22364,0.83612,0.83875,0.88491,0.65604,1.03649,0.76019,1.39561,0.00055188,0.00055188,0.00055188
33,2551.34,0.91779,0.78795,1.23305,0.86582,0.83788,0.88253,0.65279,1.04164,0.7414,1.40608,0.000523586,0.000523586,0.000523586
34,2628.4,0.90829,0.7538,1.22093,0.88204,0.84387,0.89893,0.66392,1.02119,0.74257,1.39399,0.000495291,0.000495291,0.000495291
35,2705.83,0.89908,0.72448,1.20291,0.85625,0.82733,0.88475,0.65804,1.03163,0.73809,1.40347,0.000466997,0.000466997,0.000466997
36,2783.45,0.89619,0.71438,1.21412,0.8621,0.84687,0.88347,0.64478,1.06032,0.70639,1.4289,0.000438703,0.000438703,0.000438703
37,2860.39,0.87692,0.70398,1.20219,0.85565,0.84142,0.88666,0.65365,1.05074,0.73073,1.4319,0.000410409,0.000410409,0.000410409
38,2937.43,0.87414,0.70501,1.19042,0.90122,0.85237,0.90301,0.66287,1.05643,0.69977,1.41975,0.000382115,0.000382115,0.000382115
39,3014.4,0.86714,0.6908,1.1876,0.86269,0.87281,0.9089,0.67897,1.0423,0.65807,1.41434,0.00035382,0.00035382,0.00035382
40,3091.42,0.83159,0.63708,1.17345,0.9002,0.86213,0.90024,0.67681,1.03191,0.66354,1.41067,0.000325526,0.000325526,0.000325526
41,3168.89,0.77208,0.59332,1.15674,0.89248,0.84444,0.90257,0.67493,1.02862,0.68482,1.40796,0.000297232,0.000297232,0.000297232
42,3245.59,0.73283,0.50786,1.12375,0.90083,0.84961,0.90633,0.67785,1.00735,0.67118,1.38413,0.000268938,0.000268938,0.000268938
43,3322.5,0.72698,0.48167,1.1213,0.90423,0.85755,0.91355,0.67949,1.0349,0.6594,1.41874,0.000240644,0.000240644,0.000240644
44,3399.38,0.7021,0.45505,1.0948,0.90048,0.86017,0.91471,0.69024,1.00602,0.63805,1.39444,0.000212349,0.000212349,0.000212349
